;MATRÍCULA;end;LAT;LNG
4266;235355;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4267;235356;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4268;235357;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4269;235358;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4270;235359;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4271;235361;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4272;235363;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4273;235364;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4274;235365;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4275;235366;ALAMEDA ITAPECURU - sala 1, 506 - ALPHAVILLE INDUSTRIAL BARUERI-SP;-23.4940427;-46.8448125
4276;235368;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4277;235369;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4278;235370;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4279;235372;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4280;235373;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4281;235374;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4282;235376;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4283;235377;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4284;235378;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4285;235375;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4286;235381;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4287;235382;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4288;235383;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4289;235385;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4290;235386;RUA DESEMBARGADOR ELISEU GUILHERME, 123 - PARAISO SAO PAULO-SP;-23.5729216;-46.6436909
4291;235394;RUA MARCO GIANNINI, 323 - JARDIM GILDA MARIA SAO PAULO-SP;-23.5797917;-46.7820038
4292;235395;AVENIDA RUI BARBOSA, 4110 - PARQUE DA FONTE SAO JOSE DOS PINHAIS-PR;-25.5017405;-49.1703693
4293;235401;RUA CORONEL LISBOA, 139 - VILA MARIANA SAO PAULO-SP;-23.5916906;-46.6391535
4294;235399;AVENIDA RUI BARBOSA, 4110 - PARQUE DA FONTE SAO JOSE DOS PINHAIS-PR;-25.5017405;-49.1703693
4295;235402;RUA APIACAS, 85 - VILA POMPEIA SAO PAULO-SP;-23.5333713;-46.67554639999999
4296;235396;AVENIDA BRIGADEIRO FARIA LIMA, 1188 - JARDIM PAULISTANO SAO PAULO-SP;-23.5683553;-46.69290840000001
4297;235400;RUA CORONEL LISBOA, 139 - VILA MARIANA SAO PAULO-SP;-23.5916906;-46.6391535
4298;235403;RUA APIACAS, 85 - VILA POMPEIA SAO PAULO-SP;-23.5333713;-46.67554639999999
4299;235408;RUA APIACAS, 85 - VILA POMPEIA SAO PAULO-SP;-23.5333713;-46.67554639999999
4300;235406;AVENIDA REPUBLICA DO LIBANO, 501 - JARDIM PAULISTA SAO PAULO-SP;-23.5846918;-46.6634166
4301;235409;AVENIDA REPUBLICA DO LIBANO, 501 - JARDIM PAULISTA SAO PAULO-SP;-23.5846918;-46.6634166
4302;235410;AVENIDA RUI BARBOSA, 4110 - PARQUE DA FONTE SAO JOSE DOS PINHAIS-PR;-25.5017405;-49.1703693
4303;235407;RUA CORONEL LISBOA, 139 - VILA MARIANA SAO PAULO-SP;-23.5916906;-46.6391535
4304;235413;AVENIDA BRIGADEIRO FARIA LIMA, 1188 - JARDIM PAULISTANO SAO PAULO-SP;-23.5683553;-46.69290840000001
4305;235416;AVENIDA REPUBLICA DO LIBANO, 501 - JARDIM PAULISTA SAO PAULO-SP;-23.5846918;-46.6634166
4306;235419;RUA CORONEL LISBOA, 139 - VILA MARIANA SAO PAULO-SP;-23.5916906;-46.6391535
4307;235420;AVENIDA RUI BARBOSA, 4110 - PARQUE DA FONTE SAO JOSE DOS PINHAIS-PR;-25.5017405;-49.1703693
4308;235421;RUA CORONEL LISBOA, 139 - VILA MARIANA SAO PAULO-SP;-23.5916906;-46.6391535
4309;235418;AVENIDA ALBERT EINSTEIN, 627/701 - JARDIM LEONOR SAO PAULO-SP;-23.6002008;-46.7153048
4310;235425;RUA APIACAS, 85 - VILA POMPEIA SAO PAULO-SP;-23.5333713;-46.67554639999999
4311;235427;AVENIDA RUI BARBOSA, 4110 - PARQUE DA FONTE SAO JOSE DOS PINHAIS-PR;-25.5017405;-49.1703693
4312;235430;RUA APIACAS, 85 - VILA POMPEIA SAO PAULO-SP;-23.5333713;-46.67554639999999
4313;235428;AVENIDA RICARDO JAFET, 1600 - IPIRANGA SAO PAULO-SP;-23.590946;-46.621098
4314;235424;RUA CORONEL LISBOA, 139 - VILA MARIANA SAO PAULO-SP;-23.5916906;-46.6391535
4315;235435;RUA NORMA PIERUCCINI GIANNOTTI, 327 - BARRA FUNDA SAO PAULO-SP;-23.5233334;-46.6536948
4316;235439;AVENIDA REPUBLICA DO LIBANO, 501 - JARDIM PAULISTA SAO PAULO-SP;-23.5846918;-46.6634166
4317;235438;RUA CORONEL LISBOA, 139 - VILA MARIANA SAO PAULO-SP;-23.5916906;-46.6391535
4318;235436;RUA CORONEL LISBOA, 139 - VILA MARIANA SAO PAULO-SP;-23.5916906;-46.6391535
4319;235446;RUA APIACAS, 85 - VILA POMPEIA SAO PAULO-SP;-23.5333713;-46.67554639999999
4320;235447;AVENIDA REGENTE FEIJO, 1425 - VILA REGENTE FEIJO SAO PAULO-SP;-23.5612672;-46.5633207
4321;235449;AVENIDA RICARDO JAFET, 1600 - IPIRANGA SAO PAULO-SP;-23.590946;-46.621098
4322;235451;AVENIDA REGENTE FEIJO, 1425 - VILA REGENTE FEIJO SAO PAULO-SP;-23.5612672;-46.5633207
