NC Funcionário;ADMISSÃO;CARGO;DEMISSÃO;Tipo de Rescisão
215214;2015-02-03;Auxiliar Administrativo A;2020-07-24;Demissão
225009;2017-09-29;Eletromecânico;2020-07-17;Demissão
233274;2020-02-06;Assistente de Manutenção;2020-07-06;Demissão
233276;2020-02-06;Mecânico de Refrigeração;2020-07-02;Demissão
232381;2019-09-10;Auxiliar de Manutenção Mecânica;2020-07-03;Demissão
233966;2020-05-05;Eletromecânico;2020-07-09;Pedido antecipado do contrato experiência
231544;2019-06-28;Mecânico de Refrigeração;2020-07-15;Pedido
231976;2019-08-01;Supervisor Técnico;2020-07-09;Demissão
232970;2019-12-16;Encarregado Técnico;2020-07-09;Demissão
232445;2019-09-18;Eletricista;2020-07-02;Pedido
232765;2019-11-14;Eletricista;2020-07-06;Pedido
233911;2020-04-06;Fiscal Técnico;2020-07-01;Demissão Antec. Contrato Experiência
226951;2018-05-10;Eletromecânico;2020-07-23;Demissão
221146;2016-09-19;Eletricista;2020-07-02;Justa Causa
219814;2016-04-13;Técnico de Manutenção;2020-08-08;Demissão
234023;2020-07-08;Bombeiro Civil;2020-08-19;Pedido antecipado do contrato experiência
215939;2015-04-14;Mecânico de Refrigeração;2020-08-05;Demissão
228196;2018-08-15;Ascensorista;2020-08-11;Demissão
229012;2018-10-26;Ascensorista;2020-08-11;Demissão
230410;2019-03-08;Aprendiz;2020-08-06;Termino de Contrato
217121;2015-10-08;Técnico de Telefonia;2020-08-08;Demissão
223224;2017-04-12;Pintor;2020-08-04;Demissão
214767;2014-11-13;Recepcionista B;2020-08-03;Demissão
104684;2010-07-22;Coordenador Técnico B;2020-08-07;Justa Causa
215818;2015-04-06;Auxiliar de Manutenção Geral;2020-08-07;Demissão
233968;2020-05-07;Técnico Eletrônico;2020-08-04;Termino de Contrato
218348;2016-01-25;Operador de Utilidades B;2020-08-07;Demissão
216294;2015-05-25;Gerente de Unidade;2020-08-07;Demissão
207423;2011-09-26;Operador de Utilidades B;2020-08-07;Demissão
207424;2011-09-26;Operador de Utilidades A;2020-08-07;Demissão
230527;2019-03-15;Auxiliar de Manutenção Geral;2020-08-14;Demissão
226645;2018-04-02;Almoxarife;2020-08-03;Pedido
210893;2013-08-02;Encarregado de Serviços B;2020-08-21;Pedido
224059;2017-07-05;Gerente de Unidade;2020-08-03;Pedido
227612;2018-07-01;Auxiliar de Manutenção Geral;2020-08-12;Pedido
219606;2016-03-24;Auxiliar de Manutenção Geral;2020-08-12;Pedido
229265;2018-11-13;Auxiliar de Manutenção Geral;2020-08-12;Pedido
213667;2014-07-31;Pedreiro;2020-08-05;Demissão
223198;2017-04-06;Bombeiro Civil;2020-08-05;Demissão
221464;2016-10-22;Bombeiro Civil;2020-08-05;Demissão
231450;2019-06-13;Bombeiro Civil;2020-08-05;Demissão
215786;2015-04-02;Eletricista;2020-08-06;Demissão
226092;2018-02-02;1/2 Oficial de Manutenção;2020-08-05;Demissão
231309;2019-05-24;1/2 Oficial de Manutenção;2020-08-05;Demissão
228721;2018-09-25;Serralheiro;2020-08-06;Pedido
223735;2017-05-29;Eletricista;2020-08-31;Pedido
226840;2018-05-02;Operador de Efluentes;2020-08-13;Pedido
234109;2020-07-24;Serralheiro;2020-08-13;Pedido antecipado do contrato experiência
227862;2018-08-02;Oficial de Manutenção;2020-08-03;Pedido
233661;2020-03-11;Auxiliar Administrativo B;2020-08-20;Demissão
226424;2018-03-02;Oficial de Manutenção;2020-08-13;Demissão
229062;2018-10-26;Eletricista;2020-08-03;Demissão
231406;2019-06-07;Oficial de Manutenção;2020-08-05;Pedido
225464;2017-11-07;Encarregado de Serviços A;2020-08-10;Demissão
230017;2019-01-23;Assistente de Manutenção;2020-08-18;Demissão
227205;2018-06-15;Auxiliar de Movimentação;2020-08-14;Demissão
227154;2018-06-15;Auxiliar de Movimentação;2020-08-11;Pedido
227279;2018-06-13;Auxiliar de Movimentação;2020-08-15;Demissão
234042;2020-07-16;Auxiliar de Movimentação;2020-08-10;Pedido antecipado do contrato experiência
217360;2015-11-03;Eletricista;2020-08-03;Demissão
231068;2019-05-03;Hidráulico;2020-08-17;Demissão
230061;2019-01-25;Serralheiro;2020-08-03;Demissão
231939;2019-08-06;Encarregado Técnico;2020-08-14;Demissão
230019;2019-01-24;Eletricista;2020-08-07;Pedido
218883;2016-02-17;Auxiliar Administrativo A;2020-08-10;Demissão
231492;2019-06-21;Mecânico de Refrigeração;2020-08-10;Demissão
231092;2019-05-07;Aprendiz;2020-08-08;Termino de Contrato
231056;2019-05-03;Aprendiz;2020-08-09;Termino de Contrato
232327;2019-09-02;Mecânico de Refrigeração;2020-08-01;Pedido
232324;2019-09-02;1/2 Oficial de Manutenção;2020-08-05;Demissão
230368;2019-02-26;Oficial de Manutenção;2020-08-05;Demissão
230805;2019-04-03;Auxiliar de Manutenção Geral;2020-08-05;Demissão
230828;2019-04-03;Oficial de Manutenção;2020-08-05;Demissão
104727;2001-12-03;Gerente de Operações;2020-08-11;Justa Causa
210072;2013-03-25;Analista Contábil Pleno;2020-08-14;Demissão
226966;2018-05-14;Analista Fiscal Sênior;2020-08-14;Demissão
215575;2015-03-23;Auxiliar Administrativo A;2020-08-05;Demissão
233463;2020-03-03;Eletromecânico;2020-08-20;Demissão
215634;2015-03-24;Auxiliar de Limpeza B;2020-08-19;Demissão
232533;2019-10-02;Auxiliar de Limpeza B;2020-08-18;Demissão
232077;2018-06-15;Auxiliar de Limpeza B;2020-08-03;Demissão
213554;2014-07-17;Auxiliar de Limpeza B;2020-08-03;Demissão
223722;2017-05-26;Auxiliar de Limpeza / Banheirista;2020-08-12;Pedido
234187;2020-08-10;Auxiliar de Limpeza B;2020-08-17;Pedido antecipado do contrato experiência
233316;2020-02-13;Auxiliar de Limpeza B;2020-08-11;Pedido
221771;2016-11-21;Auxiliar de Limpeza B;2020-08-01;Pedido
217375;2015-11-03;Limpador de Vidros B;2020-08-22;Demissão
226239;2018-02-08;Auxiliar de Limpeza B;2020-08-22;Demissão
231233;2019-05-17;Auxiliar de Limpeza B;2020-08-23;Demissão
220724;2016-08-01;Encarregado de Serviços B;2020-08-06;Demissão
220587;2016-07-05;Auxiliar de Limpeza B;2020-08-03;Demissão
223358;2017-05-02;Auxiliar de Limpeza B;2020-08-03;Demissão
223703;2017-05-24;Auxiliar de Limpeza B;2020-08-03;Demissão
224617;2017-08-31;Auxiliar de Limpeza B;2020-08-20;Demissão
225812;2017-12-19;Auxiliar de Limpeza / Banheirista;2020-08-25;Justa Causa
231591;2019-07-04;Abastecedor;2020-08-03;Pedido
234124;2020-08-04;Auxiliar de Limpeza B;2020-08-05;Pedido antecipado do contrato experiência
230702;2019-04-02;Auxiliar de Limpeza B;2020-08-07;Demissão
234132;2020-08-04;Auxiliar de Limpeza B;2020-08-05;Pedido antecipado do contrato experiência
224840;2017-09-14;Auxiliar de Limpeza B;2020-08-07;Demissão
230727;2019-04-01;Jardineiro;2020-08-07;Justa Causa
233673;2020-03-12;Auxiliar de Limpeza B;2020-08-24;Pedido
231413;2019-06-10;Auxiliar de Limpeza / Banheirista;2020-08-10;Demissão
232653;2019-10-29;Auxiliar de Limpeza / Banheirista;2020-08-04;Justa Causa
225172;2017-10-09;Auxiliar de Limpeza B;2020-08-03;Demissão
232848;2019-12-02;Auxiliar de Limpeza B;2020-08-11;Justa Causa
234076;2020-07-15;Recepcionista B;2020-08-04;Demissão Antec. Contrato Experiência
234077;2020-07-15;Recepcionista B;2020-08-03;Demissão Antec. Contrato Experiência
234075;2020-07-15;Recepcionista B;2020-08-03;Demissão Antec. Contrato Experiência
229308;2018-11-16;Recepcionista A;2020-08-21;Pedido
233050;2020-01-06;Arquivista;2020-08-21;Pedido
232794;2019-11-22;Mensageiro;2020-08-21;Pedido
224934;2017-09-22;Auxiliar de Limpeza B;2020-08-14;Pedido
226647;2018-04-02;Copeira;2020-08-21;Pedido
226648;2018-04-02;Auxiliar de Limpeza B;2020-08-21;Pedido
229046;2018-10-29;Auxiliar de Limpeza B;2020-08-21;Pedido
233303;2020-02-11;Auxiliar de Limpeza B;2020-08-10;Pedido
230028;2019-01-24;Auxiliar de Limpeza B;2020-08-20;Demissão
233778;2020-03-23;Auxiliar de Limpeza B;2020-08-10;Demissão
232796;2019-11-22;Auxiliar de Limpeza B;2020-08-14;Pedido
232457;2019-09-24;Auxiliar de Limpeza B;2020-08-20;Demissão
232800;2019-11-22;Auxiliar de Limpeza B;2020-08-14;Demissão
231259;2019-05-20;Auxiliar de Limpeza B;2020-08-19;Demissão
229241;2018-11-12;Líder de Limpeza;2020-08-11;Demissão
230203;2019-02-08;Auxiliar de Limpeza B;2020-08-17;Demissão
232933;2019-12-11;Auxiliar de Limpeza B;2020-08-01;Pedido
229855;2019-01-07;Auxiliar de Limpeza B;2020-08-24;Demissão
229805;2019-01-07;Auxiliar de Limpeza / Banheirista;2020-08-24;Demissão
229670;2018-12-14;Auxiliar de Limpeza / Banheirista;2020-08-24;Demissão
229851;2019-01-07;Auxiliar de Limpeza / Banheirista;2020-08-24;Demissão
226091;2018-02-02;Auxiliar de Limpeza B;2020-08-24;Demissão
231017;2019-04-25;Aprendiz - Área Administrativa;2020-08-09;Termino de Contrato
232472;2019-09-24;Auxiliar de Limpeza B;2020-08-14;Pedido
234156;2020-08-06;Auxiliar de Limpeza B;2020-08-13;Pedido antecipado do contrato experiência
229945;2019-01-14;Oficial de Manutenção;2020-08-06;Demissão
227474;2018-06-20;Auxiliar de Manutenção Mecânica;2020-08-06;Demissão
226753;2018-04-17;Auxiliar de Limpeza B;2020-08-06;Demissão
230051;2019-01-25;Auxiliar de Limpeza B;2020-08-06;Demissão
226768;2018-04-18;Auxiliar de Limpeza B;2020-08-06;Demissão
222811;2017-03-03;Encarregado de Serviços B;2020-08-06;Demissão
223283;2017-04-18;Bombeiro Civil;2020-08-06;Demissão
220520;2016-06-28;Bombeiro Civil;2020-08-19;Demissão
229107;2011-10-11;Bombeiro Civil Líder;2020-08-19;Demissão
227476;2018-06-20;Bombeiro Civil;2020-08-28;Demissão
227537;2018-06-26;Auxiliar Administrativo B;2020-08-03;Demissão
216788;2015-08-12;Encarregado Técnico;2020-08-04;Demissão
222076;2016-12-16;Oficial de Manutenção;2020-08-23;Demissão
233644;2020-03-10;Supervisor Técnico;2020-08-03;Pedido
232910;2019-12-10;Eletricista;2020-08-17;Pedido
233384;2020-02-21;Mecânico de Manutenção;2020-08-04;Demissão
231012;2019-04-25;Mecânico de Refrigeração;2020-08-03;Pedido
231863;2019-08-01;Eletricista;2020-08-20;Demissão
105914;2005-11-10;Engenheiro de Segurança do Trabalho;2020-08-07;Demissão
232807;2019-11-25;Mecânico de Refrigeração;2020-08-03;Demissão
232130;2019-08-12;Pintor;2020-08-12;Demissão
232042;2019-08-08;Auxiliar de Manutenção Geral;2020-08-19;Demissão
231866;2019-08-01;Oficial de Manutenção;2020-08-20;Demissão
233450;2020-02-24;Eletricista;2020-08-21;Pedido
224936;2017-09-21;Mecânico de Refrigeração;2020-08-04;Demissão
233414;2020-02-24;Oficial de Manutenção;2020-08-11;Pedido
10445;2000-09-01;Assistente Administrativo V;2020-09-08;Demissão
212293;2014-02-04;Assistente Administrativo;2020-09-01;Demissão
215018;2015-01-12;Auxiliar Administrativo A;2020-09-01;Demissão
228446;2018-08-17;Mensageiro;2020-09-01;Demissão
229607;2018-12-14;Recepcionista A;2020-09-01;Demissão
101923;2006-12-04;Telefonista A;2020-09-13;Demissão
226118;2018-02-05;Auxiliar de Manutenção Elétrica;2020-09-01;Demissão
227728;2018-07-12;Técnico de Manutenção;2020-09-08;Pedido
231308;2019-05-23;Aprendiz;2020-09-01;Pedido antecipado do contrato experiência
229554;2018-12-11;Supervisor de Serviços B;2020-09-09;Demissão
231475;2019-06-19;Auxiliar de Manutenção Elétrica;2020-09-11;Pedido
227055;2018-05-25;Recepcionista B;2020-09-01;Pedido
226570;2018-03-15;Assistente Administrativo;2020-09-30;Demissão
231677;2019-07-12;Aprendiz;2020-09-14;Pedido antecipado do contrato experiência
232873;2019-12-05;Recepcionista A;2020-09-01;Demissão
223246;2017-04-17;Eletricista;2020-09-17;Demissão
208217;2012-03-01;Eletromecânico;2020-09-17;Demissão
221423;2016-10-24;Pintor;2020-09-17;Demissão
232775;2019-11-18;Telhadista;2020-09-17;Demissão
222140;2016-12-21;Hidráulico Industrial;2020-09-17;Demissão
231043;2019-05-02;Oficial de Manutenção;2020-09-17;Demissão
229373;2018-11-27;Pedreiro;2020-09-17;Demissão
209898;2013-02-11;Oficial de Manutenção;2020-09-17;Demissão
231231;2019-05-20;Oficial de Manutenção;2020-09-17;Demissão
231358;2019-06-04;Aprendiz;2020-09-03;Termino de Contrato
224977;2017-09-27;Técnico Eletrônico;2020-09-03;Pedido
228928;2018-10-22;Técnico de Refrigeração;2020-09-14;Pedido
223918;2017-06-21;Encarregado Técnico;2020-09-09;Demissão
213052;2014-05-14;Eletricista;2020-09-17;Demissão
214231;2014-09-16;Bombeiro Civil;2020-09-19;Demissão
233997;2020-06-11;Operador de Efluentes;2020-09-08;Termino de Contrato
220994;2016-09-01;Operador de Energias e Utilidades;2020-09-15;Demissão
220969;2016-08-26;Supervisor de Infraestruturas e Energias;2020-09-15;Demissão
220957;2016-09-01;Encarregado de Utilidades;2020-09-15;Demissão
220991;2016-09-01;Operador de Energias e Utilidades;2020-09-15;Demissão
220974;2016-08-26;Operador de Energias e Utilidades;2020-09-15;Demissão
220953;2016-08-26;Operador de Utilidades B;2020-09-15;Demissão
220958;2016-09-01;Operador de Efluentes;2020-09-15;Demissão
220966;2016-09-01;Operador de Energias e Utilidades;2020-09-30;Demissão
220952;2016-08-29;Operador de Energias e Utilidades;2020-09-15;Demissão
220959;2016-08-26;Operador de Efluentes;2020-09-15;Demissão
221458;2016-10-24;Técnico em Química;2020-09-15;Demissão
220965;2016-09-01;Operador de Energias e Utilidades;2020-09-15;Demissão
221383;2016-10-21;Operador de Energias e Utilidades;2020-09-15;Demissão
224438;2017-08-15;Operador de Energias e Utilidades;2020-09-15;Demissão
224513;2017-08-18;Operador de Efluentes;2020-09-15;Demissão
234079;2020-07-16;Operador de Energias e Utilidades;2020-09-15;Demissão Antec. Contrato Experiência
229916;2019-01-14;Eletricista;2020-09-01;Pedido
227554;2018-07-01;Auxiliar de Manutenção Elétrica;2020-09-01;Pedido
233149;2020-01-24;Pintor;2020-09-17;Pedido
223920;2017-06-20;Assistente de Manutenção;2020-09-03;Pedido
221848;2016-12-01;Supervisor Técnico;2020-09-02;Pedido
220898;2016-08-19;Analista Administrativo;2020-09-15;Demissão
220895;2016-08-19;Supervisor Técnico;2020-09-15;Demissão
220902;2016-08-19;Coordenador Técnico A;2020-09-15;Demissão
230164;2019-02-04;Operador de Energias e Utilidades;2020-09-15;Demissão
221824;2016-11-25;Operador de Efluentes;2020-09-15;Demissão
220899;2016-08-19;Operador de Efluentes;2020-09-15;Demissão
221555;2016-11-07;Operador de Efluentes;2020-09-15;Demissão
220901;2016-08-19;Operador de Energias e Utilidades;2020-09-15;Demissão
226739;2018-04-16;Operador de Energias e Utilidades;2020-09-15;Demissão
220865;2016-08-11;Operador de Energias e Utilidades;2020-09-15;Demissão
229131;2018-11-07;Eletricista;2020-09-23;Demissão
232710;2019-11-06;Soldador;2020-09-09;Pedido
232212;2019-08-27;Pintor;2020-09-02;Demissão
231207;2019-05-16;Eletromecânico;2020-09-02;Pedido
230043;2019-01-24;Oficial de Manutenção;2020-09-18;Demissão
232901;2019-12-11;Mecânico de Manutenção;2020-09-11;Demissão
232883;2019-12-11;Serralheiro;2020-09-08;Pedido
226338;2018-02-21;Oficial de Manutenção;2020-09-21;Demissão
230156;2019-02-04;Recepcionista B;2020-09-21;Demissão
225975;2018-01-15;Recepcionista B;2020-09-21;Demissão
226725;2018-04-11;Auxiliar de Manutenção Mecânica;2020-09-11;Demissão
231523;2019-06-25;Pintor;2020-09-11;Pedido
233083;2020-01-13;Porteiro;2020-09-14;Demissão
227072;2018-06-01;Recepcionista A;2020-09-24;Demissão
232786;2019-11-19;Aprendiz;2020-09-18;Pedido antecipado do contrato experiência
230401;2019-03-01;Supervisor Técnico;2020-09-03;Demissão
228432;2018-08-16;Técnico de Segurança do Trabalho;2020-09-07;Pedido
234346;2020-09-16;Auxiliar de Movimentação;2020-09-21;Pedido antecipado do contrato experiência
234020;2020-07-06;Coordenador Técnico B;2020-09-03;Demissão Antec. Contrato Experiência
224651;2017-09-01;Auxiliar de Manutenção Geral;2020-09-16;Demissão
232340;2019-09-02;Mecânico de Refrigeração;2020-09-01;Pedido
230802;2019-04-03;Eletricista;2020-09-18;Demissão
231626;2019-07-10;Eletricista;2020-09-22;Demissão
234099;2020-07-21;Eletricista;2020-09-14;Pedido antecipado do contrato experiência
234091;2020-07-21;Oficial de Manutenção;2020-09-02;Pedido antecipado do contrato experiência
234201;2020-08-11;Auxiliar de Manutenção Geral;2020-09-01;Pedido antecipado do contrato experiência
232479;2019-09-26;Almoxarife;2020-09-21;Demissão
233225;2020-02-04;Auxiliar de Almoxarifado;2020-09-02;Demissão
223885;2017-06-14;Limpador de Vidros B;2020-09-15;Demissão
228543;2018-08-29;Auxiliar de Limpeza B;2020-09-15;Demissão
231495;2019-06-21;Auxiliar de Limpeza B;2020-09-15;Demissão
216166;2015-05-08;Auxiliar de Limpeza B;2020-09-14;Pedido
232309;2019-08-29;Auxiliar de Limpeza B;2020-09-01;Pedido
228819;2018-10-09;Auxiliar de Limpeza B;2020-09-24;Pedido
231345;2019-05-30;Aprendiz - Área Administrativa;2020-09-29;Termino de Contrato
224028;2017-07-01;Porteiro;2020-09-21;Demissão
225619;2017-11-23;Porteiro;2020-09-21;Demissão
224608;2017-08-31;Encarregado de Serviços B;2020-09-21;Demissão
225236;2017-10-20;Auxiliar de Limpeza B;2020-09-21;Demissão
224614;2017-08-31;Líder de Limpeza;2020-09-21;Demissão
230087;2019-02-04;Auxiliar de Limpeza B;2020-09-24;Demissão
232680;2019-11-04;Auxiliar de Limpeza B;2020-09-24;Demissão
232795;2019-11-22;Auxiliar de Limpeza B;2020-09-24;Demissão
229870;2019-01-08;Auxiliar de Limpeza B;2020-09-24;Demissão
232772;2019-11-18;Auxiliar de Limpeza B;2020-09-24;Demissão
232851;2019-12-03;Auxiliar de Limpeza B;2020-09-24;Demissão
231461;2019-06-18;Auxiliar de Limpeza B;2020-09-24;Demissão
225568;2017-11-17;Auxiliar de Limpeza / Banheirista;2020-09-24;Demissão
224555;2017-08-22;Auxiliar de Limpeza / Banheirista;2020-09-09;Pedido
224526;2017-08-22;Auxiliar de Limpeza B;2020-09-24;Demissão
229773;2019-01-02;Auxiliar de Limpeza B;2020-09-24;Demissão
230476;2019-03-12;Auxiliar de Limpeza / Banheirista;2020-09-24;Demissão
229771;2019-01-02;Auxiliar de Limpeza / Banheirista;2020-09-24;Demissão
230687;2019-03-28;Auxiliar de Limpeza B;2020-09-24;Demissão
226295;2018-02-14;Auxiliar de Limpeza B;2020-09-24;Demissão
232536;2019-10-02;Auxiliar de Limpeza / Banheirista;2020-09-24;Demissão
226021;2018-01-22;Auxiliar de Limpeza / Banheirista;2020-09-24;Demissão
224537;2017-08-22;Auxiliar de Limpeza / Banheirista;2020-09-24;Demissão
228588;2018-09-11;Auxiliar de Limpeza B;2020-09-30;Demissão
229543;2018-12-10;Auxiliar de Limpeza / Banheirista;2020-09-24;Demissão
232822;2019-11-26;Auxiliar de Limpeza / Banheirista;2020-09-24;Demissão
224524;2017-08-22;Auxiliar de Limpeza / Banheirista;2020-09-24;Demissão
224541;2017-08-22;Líder de Limpeza;2020-09-19;Demissão
224531;2017-08-22;Auxiliar de Limpeza / Banheirista;2020-09-19;Demissão
228243;2018-08-15;Auxiliar de Limpeza B;2020-09-29;Demissão
232370;2019-09-06;Auxiliar de Limpeza B;2020-09-26;Demissão
234125;2020-08-04;Auxiliar de Limpeza B;2020-09-15;Pedido antecipado do contrato experiência
232532;2019-10-03;Auxiliar de Limpeza B;2020-09-01;Pedido
228212;2018-08-15;Jardineiro;2020-09-03;Demissão
234135;2020-08-04;Auxiliar de Limpeza B;2020-09-15;Demissão Antec. Contrato Experiência
233344;2020-02-20;Auxiliar de Limpeza B;2020-09-01;Pedido
232213;2019-08-27;Auxiliar de Limpeza B;2020-09-03;Demissão
232252;2019-05-28;Auxiliar de Limpeza B;2020-09-21;Demissão
228211;2018-08-14;Auxiliar de Limpeza B;2020-09-04;Demissão
225627;2017-11-21;Auxiliar de Limpeza B;2020-09-21;Demissão
228466;2018-08-20;Recepcionista B;2020-09-21;Demissão
231290;2019-05-23;Auxiliar de Limpeza B;2020-09-24;Demissão
232717;2019-11-07;Auxiliar de Limpeza B;2020-09-26;Demissão
229918;2019-01-16;Auxiliar de Limpeza A;2020-09-24;Demissão
232711;2019-11-06;Auxiliar de Limpeza B;2020-09-23;Demissão
228531;2018-08-27;Auxiliar de Limpeza B;2020-09-14;Pedido
226311;2018-02-17;Auxiliar de Limpeza B;2020-09-30;Demissão
227940;2018-08-01;Auxiliar de Limpeza / Banheirista;2020-09-22;Pedido
233774;2020-03-23;Auxiliar de Limpeza B;2020-09-17;Justa Causa
234127;2020-08-04;Auxiliar de Limpeza B;2020-09-21;Pedido antecipado do contrato experiência
233787;2020-03-23;Auxiliar de Limpeza B;2020-09-17;Justa Causa
233775;2020-03-23;Auxiliar de Limpeza B;2020-09-14;Demissão
233458;2020-02-24;Encarregado de Serviços B;2020-09-22;Pedido
228217;2018-08-14;Auxiliar de Limpeza B;2020-09-11;Pedido
230025;2019-01-24;Auxiliar de Limpeza B;2020-09-17;Pedido
230024;2019-01-24;Auxiliar de Limpeza B;2020-09-02;Demissão
233788;2020-03-23;Auxiliar de Limpeza B;2020-09-17;Justa Causa
228270;2018-08-15;Líder de Limpeza;2020-09-09;Demissão
233440;2020-03-03;Auxiliar de Limpeza B;2020-09-30;Pedido
231627;2019-07-10;Auxiliar de Limpeza B;2020-09-09;Demissão
230470;2019-03-12;Auxiliar de Limpeza B;2020-09-01;Pedido
228271;2018-08-15;Líder de Limpeza;2020-09-18;Pedido
200749;2003-04-07;Auxiliar de Limpeza B;2020-09-08;Demissão
233736;2020-03-18;Auxiliar de Limpeza B;2020-09-12;Pedido
228653;2018-09-17;Auxiliar de Limpeza B;2020-09-16;Demissão
228895;2018-10-19;Auxiliar de Limpeza B;2020-09-17;Demissão
228823;2018-10-10;Auxiliar de Limpeza B;2020-09-16;Demissão
230921;2019-04-15;Auxiliar de Limpeza B;2020-09-23;Demissão
230915;2019-04-15;Auxiliar de Limpeza B;2020-09-02;Demissão
232459;2019-09-23;Auxiliar de Limpeza B;2020-09-23;Demissão
232928;2019-12-11;Auxiliar de Limpeza B;2020-09-08;Demissão
226455;2018-03-02;Auxiliar de Limpeza / Banheirista;2020-09-10;Demissão
232651;2019-10-28;Auxiliar de Limpeza B;2020-09-15;Pedido
232055;2019-08-07;Auxiliar de Limpeza B;2020-09-04;Demissão
232271;2019-08-31;Manobrista;2020-09-03;Demissão
232863;2019-12-03;Recepcionista B;2020-09-03;Demissão
232275;2019-08-31;Recepcionista B;2020-09-03;Demissão
232231;2019-08-28;Recepcionista B;2020-09-03;Demissão
232279;2019-08-31;Recepcionista B;2020-09-03;Demissão
232834;2019-12-02;Manobrista;2020-09-03;Demissão
232840;2019-12-02;Manobrista;2020-09-03;Demissão
232557;2019-10-04;Recepcionista B;2020-09-05;Demissão
232233;2019-08-28;Recepcionista B;2020-09-03;Demissão
232280;2019-08-31;Recepcionista B;2020-09-03;Demissão
232234;2019-08-28;Recepcionista B;2020-09-03;Demissão
232833;2019-12-02;Manobrista;2020-09-03;Demissão
232836;2019-12-02;Manobrista;2020-09-03;Demissão
232270;2019-08-31;Manobrista;2020-09-03;Demissão
232841;2019-12-02;Manobrista;2020-09-03;Demissão
232838;2019-12-02;Manobrista;2020-09-03;Demissão
232839;2019-12-02;Manobrista;2020-09-03;Demissão
234152;2020-08-06;Auxiliar de Limpeza B;2020-09-19;Termino de Contrato
234155;2020-08-06;Auxiliar de Limpeza B;2020-09-08;Pedido antecipado do contrato experiência
234153;2020-08-06;Auxiliar de Limpeza B;2020-09-01;Pedido antecipado do contrato experiência
234286;2020-09-03;Auxiliar de Limpeza B;2020-09-21;Demissão Antec. Contrato Experiência
206079;2010-07-20;Auxiliar de Limpeza B;2020-09-01;Pedido
224571;2017-08-23;Auxiliar de Manutenção Mecânica;2020-09-01;Demissão
230327;2019-02-22;Auxiliar de Limpeza B;2020-09-18;Pedido
232461;2019-09-23;Auxiliar de Limpeza B;2020-09-04;Pedido
233334;2020-02-17;Analista de Recursos Humanos;2020-09-09;Pedido
230661;2019-03-26;Encarregado Técnico;2020-09-14;Demissão
232476;2019-09-26;Mecânico de Refrigeração;2020-09-21;Demissão
232701;2019-11-05;Eletromecânico;2020-09-18;Pedido
231801;2019-07-29;Almoxarife;2020-09-04;Demissão
233074;2020-01-13;Auxiliar de Manutenção Geral;2020-09-09;Demissão
231810;2019-07-29;Hidráulico;2020-09-09;Demissão
231811;2019-07-29;Auxiliar de Manutenção Geral;2020-09-09;Demissão
232769;2019-11-18;Eletricista;2020-09-08;Pedido
231900;2019-08-03;Auxiliar Administrativo B;2020-09-03;Demissão
231941;2019-08-01;Assistente Administrativo;2020-09-03;Demissão
232057;2019-08-07;Encarregado de Serviços A;2020-09-15;Demissão
234008;2020-06-24;Eletromecânico;2020-09-21;Termino de Contrato
234218;2020-08-14;Auxiliar de Manutenção Geral;2020-09-18;Pedido antecipado do contrato experiência
226756;2018-04-16;Gerente de Unidade;2020-09-08;Demissão
233419;2020-02-24;Mecânico de Refrigeração;2020-09-15;Demissão
233221;2020-02-04;Oficial de Manutenção;2020-09-03;Pedido
233638;2020-03-10;Auxiliar Administrativo B;2020-09-01;Demissão
102604;2008-06-05;Coordenador de Serviços B;2020-09-01;Demissão
234236;2020-08-14;Oficial de Manutenção;2020-09-08;Demissão Antec. Contrato Experiência
233632;2020-03-10;Eletromecânico;2020-09-02;Pedido
101051;2007-05-10;Pedreiro;2020-10-14;Demissão
218417;2016-02-01;Recepcionista B;2020-10-01;Pedido
227760;2018-07-20;Recepcionista B;2020-10-01;Pedido
229379;2018-11-27;Operador de Central;2020-10-06;Demissão
213001;2014-05-08;Coordenador de Serviços A;2020-10-13;Demissão
221253;2016-10-03;Mecânico de Refrigeração;2020-10-02;Demissão
216937;2015-09-14;Mecânico de Refrigeração;2020-10-08;Pedido
230968;2019-04-18;Mecânico de Refrigeração;2020-10-02;Pedido
217995;2016-01-09;Auxiliar de Manutenção Mecânica;2020-10-01;Demissão
204529;2009-09-11;Auxiliar de Manutenção Geral;2020-10-01;Demissão
231616;2019-07-08;Auxiliar de Manutenção Geral;2020-10-02;Pedido
234344;2020-09-15;Mecânico de Refrigeração;2020-10-15;Pedido antecipado do contrato experiência
233120;2020-01-21;Mecânico de Manutenção Industrial;2020-10-08;Pedido
219999;2016-05-02;Eletricista;2020-10-01;Pedido
229747;2018-12-19;Auxiliar de Manutenção Mecânica;2020-10-01;Demissão
231575;2019-07-03;Eletricista;2020-10-14;Pedido
234167;2020-08-06;Oficial de Manutenção;2020-10-19;Pedido antecipado do contrato experiência
231279;2019-05-21;Auxiliar de Manutenção Geral;2020-10-02;Pedido
233132;2020-01-22;Lubrificador;2020-10-20;Pedido
229741;2018-12-19;Auxiliar de Manutenção Elétrica;2020-10-22;Pedido
234110;2020-07-24;Serralheiro;2020-10-02;Pedido antecipado do contrato experiência
233583;2020-03-06;Eletricista;2020-10-02;Pedido
230484;2019-03-11;Auxiliar de Manutenção Geral;2020-10-14;Demissão
231222;2019-05-17;Auxiliar de Manutenção Elétrica;2020-10-24;Pedido
