NC Funcionário;ADMISSÃO;CARGO;DEMISSÃO;Tipo de Rescisão
221246;2016-10-03;Eletricista;2020-03-05;Demissão
233534;2020-03-03;Almoxarife;2020-04-15;Demissão Antec. Contrato Experiência
228095;2018-08-09;Almoxarife;2020-03-13;Justa Causa
233626;2020-03-10;Oficial de Manutenção;2020-03-13;Pedido antecipado do contrato experiência
233545;2020-03-04;Mecânico de Refrigeração;2020-04-15;Demissão Antec. Contrato Experiência
233653;2020-03-11;Oficial de Manutenção;2020-03-18;Demissão Antec. Contrato Experiência
230689;2019-03-27;Oficial de Manutenção;2020-05-08;Demissão
225446;2017-11-06;Auxiliar de Manutenção Mecânica;2020-05-25;Demissão
226490;2018-03-07;Supervisor Técnico;2020-02-14;Demissão
218499;2016-02-01;Eletromecânico;2020-05-07;Demissão
218498;2016-02-01;Eletricista;2020-05-07;Demissão
227069;2018-06-01;Eletricista;2020-05-07;Demissão
218524;2016-02-01;Eletromecânico;2020-05-07;Demissão
218507;2016-02-01;Oficial de Manutenção;2020-05-07;Demissão
218497;2016-02-01;Oficial de Manutenção;2020-05-07;Demissão
228724;2018-10-01;Auxiliar de Manutenção Geral;2020-05-07;Demissão
218502;2016-02-01;Oficial de Manutenção;2020-05-07;Demissão
218430;2016-01-27;Oficial de Manutenção;2020-05-07;Demissão
229933;2019-01-16;Aprendiz;2020-05-07;Demissão Antec. Contrato Experiência
229949;2019-01-16;Aprendiz;2020-05-07;Demissão Antec. Contrato Experiência
232254;2019-08-28;1/2 Oficial de Manutenção;2020-04-02;Demissão
223988;2017-06-27;Mecânico de Refrigeração;2020-02-12;Demissão
231526;2019-06-26;Mecânico de Refrigeração;2020-03-02;Pedido
229998;2019-01-23;Mecânico de Refrigeração;2020-03-13;Pedido
225894;2018-01-08;Auxiliar de Manutenção Elétrica;2020-01-08;Demissão
233660;2020-03-11;Auxiliar de Manutenção Elétrica;2020-04-02;Demissão Antec. Contrato Experiência
228438;2018-08-20;Auxiliar de Manutenção Elétrica;2020-02-13;Pedido
231108;2019-05-08;Auxiliar de Manutenção Geral;2020-03-16;Demissão
233147;2020-01-24;Auxiliar de Manutenção Mecânica;2020-04-20;Demissão Antec. Contrato Experiência
226529;2018-03-12;Eletricista;2020-01-02;Pedido
232438;2019-09-18;Oficial de Manutenção;2020-01-03;Justa Causa
232601;2019-10-15;Pintor;2020-02-05;Pedido
227114;2018-06-05;Supervisor Técnico;2020-03-12;Pedido
233665;2020-03-13;Supervisor Técnico;2020-04-20;Demissão Antec. Contrato Experiência
230014;2019-01-23;Eletricista;2020-05-06;Demissão
230788;2019-04-05;Auxiliar de Manutenção Elétrica;2020-05-06;Demissão
233099;2020-01-16;Eletricista;2020-04-13;Demissão Antec. Contrato Experiência
230228;2019-02-12;Hidráulico Industrial;2020-01-14;Demissão
231934;2019-08-05;Serralheiro;2020-01-14;Demissão
231101;2019-05-08;Serralheiro;2020-03-04;Demissão
231520;2019-06-26;Serralheiro;2020-03-04;Demissão
228550;2018-09-03;Soldador;2020-02-11;Pedido
229278;2018-11-14;Auxiliar de Manutenção Geral;2020-03-31;Demissão
221686;2016-11-14;Técnico de Segurança do Trabalho;2020-05-04;Demissão
230417;2019-03-06;Eletricista;2020-03-05;Pedido
233032;2020-01-06;Auxiliar de Manutenção Geral;2020-01-27;Pedido antecipado do contrato experiência
230757;2019-04-03;Pedreiro;2020-03-17;Demissão
232644;2019-10-24;Auxiliar de Manutenção Geral;2020-05-14;Pedido
230179;2019-02-06;Mecânico de Refrigeração;2020-02-14;Demissão
229713;2018-12-18;Eletromecânico;2020-02-12;Demissão
222337;2017-01-20;Supervisor Técnico;2020-05-06;Demissão
224341;2017-07-24;Eletromecânico;2020-03-20;Demissão
222559;2017-02-09;Oficial de Manutenção;2020-05-08;Demissão
224075;2017-07-07;Oficial de Manutenção;2020-05-07;Demissão
232750;2019-11-11;Oficial de Manutenção;2020-05-11;Demissão
225302;2017-11-01;Oficial de Manutenção;2020-03-10;Demissão
231001;2019-04-24;Oficial de Manutenção;2020-01-07;Demissão
232040;2019-08-07;Aprendiz;2020-02-03;Pedido antecipado do contrato experiência
231527;2019-06-26;Auxiliar Administrativo B;2020-05-06;Demissão
230054;2019-01-28;Eletricista;2020-02-14;Pedido
233749;2020-03-19;Auxiliar Administrativo B;2020-04-22;Demissão Antec. Contrato Experiência
231326;2019-05-27;Eletricista;2020-04-01;Pedido
231707;2019-07-18;Oficial de Manutenção;2020-02-14;Justa Causa
229063;2018-10-29;Auxiliar Administrativo B;2020-03-12;Demissão
230274;2019-02-18;Mecânico de Refrigeração;2020-02-17;Pedido
226494;2018-03-08;Supervisor Técnico;2020-05-22;Demissão
230263;2019-02-18;Eletricista;2020-04-14;Pedido
226905;2018-05-08;Eletricista;2020-04-17;Demissão
225886;2018-01-03;Líder de Manutenção;2020-02-05;Demissão
227743;2018-07-18;Mecânico de Refrigeração;2020-04-17;Demissão
231031;2019-05-02;Oficial de Manutenção;2020-05-19;Demissão
232080;2019-08-12;Auxiliar de Manutenção Mecânica;2020-03-24;Demissão
226497;2018-03-08;Auxiliar de Manutenção Geral;2020-05-19;Demissão
226957;2018-05-18;Eletricista Industrial;2020-02-07;Demissão
223523;2017-05-08;Mecânico de Manutenção;2020-03-05;Pedido
225521;2017-11-14;Serralheiro;2020-01-06;Demissão
225207;2017-10-17;Serralheiro;2020-02-19;Demissão
225484;2017-11-09;Hidráulico;2020-04-16;Demissão
233061;2020-01-09;Auxiliar Administrativo B;2020-02-19;Pedido antecipado do contrato experiência
232501;2019-10-01;Supervisor Técnico;2020-05-04;Pedido
233295;2020-02-10;Mecânico de Refrigeração;2020-03-25;Termino de Contrato
232783;2019-11-19;Mecânico de Refrigeração;2020-01-23;Pedido antecipado do contrato experiência
232158;2019-08-16;Mecânico de Refrigeração;2020-03-02;Pedido
233066;2020-01-10;Mecânico de Refrigeração;2020-04-08;Termino de Contrato
228695;2018-09-24;Eletricista;2020-01-03;Demissão
227546;2018-07-02;Mecânico de Refrigeração;2020-01-03;Demissão
233039;2020-01-06;Oficial de Manutenção;2020-01-13;Pedido antecipado do contrato experiência
233312;2020-02-12;Oficial de Manutenção;2020-03-24;Demissão Antec. Contrato Experiência
233260;2020-02-06;Auxiliar de Manutenção Mecânica;2020-03-21;Termino de Contrato
233349;2020-02-20;Eletricista;2020-03-02;Pedido antecipado do contrato experiência
224996;2017-09-29;Eletricista;2020-02-04;Demissão
233587;2020-03-06;Oficial de Manutenção;2020-03-21;Demissão Antec. Contrato Experiência
232723;2019-11-08;Oficial de Manutenção;2020-02-05;Termino de Contrato
228860;2018-10-15;Eletricista;2020-05-22;Demissão
233337;2020-02-19;Oficial de Manutenção;2020-05-15;Demissão Antec. Contrato Experiência
233687;2020-03-13;Auxiliar de Manutenção;2020-04-17;Demissão Antec. Contrato Experiência
228038;2018-08-06;Oficial de Manutenção;2020-01-17;Justa Causa
228044;2018-08-06;Oficial de Manutenção;2020-02-10;Demissão
229784;2019-01-04;Oficial de Manutenção;2020-05-22;Demissão
228029;2018-08-06;Oficial de Manutenção;2020-05-22;Demissão
230513;2019-03-14;Oficial de Manutenção;2020-05-22;Demissão
230238;2019-02-13;Oficial de Manutenção;2020-05-22;Demissão
225763;2017-12-11;Mecânico de Refrigeração;2020-05-05;Pedido
233399;2020-02-21;Mecânico de Refrigeração;2020-04-14;Demissão Antec. Contrato Experiência
